taskID,synthesized,correct_or_not,desired_or_not
2,"MATCH (a:Person)-[r:MY_RELATION]->(b:Person) WHERE r.maximum - r.minimum < 5 RETURN a, r, b",FALSE,FALSE
3,"MATCH (u:User)-[:RT_MENTIONS]->(v:User) RETURN u.name, v.name",FALSE,FALSE
4,MATCH (b1:BasketOne)-[:INCLUDE]->(a:Apple)<-[:INCLUDE]-(b2:BasketTwo) RETURN count(a),TRUE,TRUE
5,"MATCH (p:Person)-[:CREATED_EVENT]->(e:Event)-[:ANSWERED]->(q:question) WHERE q.id = 2 RETURN p, e, q",FALSE,FALSE
6,MATCH (:Crew)-[:KNOWS]->(c)-[:KNOWS]->() RETURN c.name,FALSE,FALSE
7,"MATCH (a:User)-[r1:INTERACTS_WITH]->(b:User)-[r2:INTERACTS_WITH]->(c:User)-[r3:INTERACTS_WITH]->(d:User) RETURN a, b, c, d, r1, r2, r3",TRUE,TRUE
8,"MATCH (p1:Parent)-[:HAS]->(c:Child)<-[:HAS]-(p2:Parent) WHERE p1.name = p2.name AND p1 <> p2 RETURN p1, p2",TRUE,FALSE
9,"MATCH (p:Parent)-[:HAS]->(c:Child) WHERE c.name IN ['Son', 'Daughter'] RETURN c.name",FALSE,FALSE
10,MATCH (p:Person {name: 'Charlie Sheen'})-[:ACTED_IN]->(m:Movie) RETURN m.title,TRUE,TRUE
11,"MATCH (s:Store)-[:Sells]->(i:Item) RETURN s.name, sum(i.price)",TRUE,TRUE
12,MATCH (p:Person)-[:WORKS_AT]->(b:Bank)<-[:BANKS_AT]-(p) RETURN p,TRUE,TRUE
13,"MATCH (p:Person) RETURN p.job, count(p.job)",TRUE,TRUE
14,"MATCH (p:Project)<-[r:charged_project]-(e:Employee) RETURN p.name, sum(r.hours)",TRUE,TRUE
15,MATCH (p:Person) WHERE NOT (p)-[:KNOWS]->() RETURN p.name,FALSE,FALSE
16,MATCH (p:Person)-[:BANKS_AT]->(b:Bank) RETURN p,TRUE,TRUE
