benchmark_id,synthesized,correct_or_not,desired_or_not
2,"MATCH (a:Person)-[r:MY_RELATION]->(b:Person) WHERE r.minimum <= 21 AND r.maximum >= 21 RETURN a, r, b",TRUE,TRUE
3,"MATCH (a:User)-[:RT_MENTIONS]->(b:User) RETURN a.name, b.name",TRUE,FALSE
4,MATCH (b1:BasketOne)-[:INCLUDE]->(a:Apple)<-[:INCLUDE]-(b2:BasketTwo) RETURN count(a),TRUE,TRUE
5,"MATCH (p:Person {firstname: ""foo""})-[:CREATED_EVENT]->(e:Event)-[:ANSWERED]->(q:question {id: 2}) RETURN p, e, q",TRUE,TRUE
6,"MATCH (n:Crew {name: ""Neo""})-[:KNOWS]->(m:Crew)-[:KNOWS]->(c:Crew) RETURN c.name",TRUE,TRUE
7,"MATCH (a:User)-[r1:INTERACTS_WITH]->(b:User)-[r2:INTERACTS_WITH]->(c:User)-[r3:INTERACTS_WITH]->(d:User) RETURN a, b, c, d, r1, r2, r3",TRUE,TRUE
8,"MATCH (p1:Parent {name: ""Bob""})-[:HAS]->(c:Child {name: ""Daughter""})<-[:HAS]-(p2:Parent {name: ""Bob""}) WHERE p1 <> p2 RETURN p1, p2",TRUE,FALSE
9,"MATCH (p:Parent {name: ""Bob""})-[:HAS]->(c:Child) RETURN c.name",TRUE,TRUE
10,"MATCH (p:Person {name: ""Charlie Sheen""})-[:ACTED_IN]->(m:Movie) RETURN m.title",TRUE,TRUE
11,"MATCH (s:Store)-[:Sells]->(i:Item) RETURN s.name, sum(i.price)",TRUE,TRUE
12,MATCH (p:Person)-[:WORKS_AT]->(b:Bank)<-[:BANKS_AT]-(p) RETURN p,TRUE,TRUE
13,"MATCH (p:Person) RETURN p.job, count(p.job)",TRUE,TRUE
14,"MATCH (p:Project)<-[r:charged_project]-(e:Employee) RETURN p.name, sum(r.hours)",TRUE,TRUE
15,MATCH (p:Person) WHERE p.age < 35 RETURN p.name,TRUE,TRUE
16,MATCH (p:Person)-[:BANKS_AT]->(:Bank) RETURN p,TRUE,TRUE
17,"MATCH (a:User)-[:FOLLOWS]->(b:User) RETURN a, b",TRUE,TRUE
18,MATCH (n:Node) RETURN n.worked + n.retired,TRUE,TRUE
19,"MATCH (a:Airport) RETURN a.city, sum(a.capacity)",TRUE,TRUE
20,"MATCH (u:User)-[r:relation]->(n:Node) RETURN r.uuid, max(n.value), min(n.value)",TRUE,TRUE
21,"MATCH (c:wine_critic)-[r:REVIEW]->(b:wine_bottle) RETURN c.name, b.name, max(r.score), min(r.score)",TRUE,TRUE
